time,linear_acceleration_x,linear_acceleration_y,linear_acceleration_z
0.000000,-0.018899,0.094517,9.799526
0.035000,-0.018899,0.094517,9.799526
0.065000,-0.018899,0.094517,9.799526
0.100000,-0.018899,0.094517,9.799526
0.130000,-0.018898,0.094517,9.799526
0.165000,-0.018898,0.094517,9.799526
0.200000,-0.018898,0.094517,9.799526
0.230000,-0.018898,0.094517,9.799526
0.265000,-0.018898,0.094517,9.799526
0.295000,-0.018898,0.094517,9.799526
0.330000,-0.018898,0.094517,9.799526
0.365000,-0.018898,0.094517,9.799526
0.395000,-0.018898,0.094517,9.799526
0.430000,-0.018898,0.094517,9.799526
0.460000,-0.018898,0.094517,9.799526
0.495000,-0.018898,0.094517,9.799526
0.530000,-0.018898,0.094517,9.799526
0.560000,-0.018898,0.094517,9.799526
0.595000,-0.018898,0.094517,9.799526
0.625000,-0.018898,0.094517,9.799526
0.660000,-0.018898,0.094517,9.799526
0.695000,-0.018898,0.094517,9.799526
0.725000,-0.018898,0.094517,9.799526
0.760000,-0.018898,0.094517,9.799526
0.790000,-0.018898,0.094517,9.799526
0.825000,-0.018898,0.094517,9.799526
0.860000,-0.018898,0.094517,9.799526
0.890000,-0.018898,0.094517,9.799526
0.925000,-0.018898,0.094517,9.799526
0.955000,-0.018898,0.094517,9.799526
0.990000,-0.018898,0.094517,9.799526
1.025000,-0.018898,0.094517,9.799526
1.055000,-0.018898,0.094517,9.799526
1.090000,-0.018898,0.094517,9.799526
1.120000,-0.018898,0.094517,9.799526
1.155000,-0.018898,0.094517,9.799526
1.190000,-0.018898,0.094517,9.799526
1.220000,-0.018898,0.094517,9.799526
1.255000,-0.018898,0.094517,9.799526
1.285000,-0.018898,0.094517,9.799526
1.320000,-0.018898,0.094517,9.799526
1.355000,-0.018898,0.094517,9.799526
1.385000,-0.018898,0.094517,9.799526
1.420000,-0.018898,0.094517,9.799526
1.450000,-0.018898,0.094517,9.799526
1.485000,-0.018898,0.094517,9.799526
1.520000,-0.018898,0.094517,9.799526
1.550000,-0.018898,0.094517,9.799526
1.585000,-0.018898,0.094517,9.799526
1.615000,-0.018898,0.094517,9.799526
1.650000,-0.018898,0.094517,9.799526
1.685000,-0.018898,0.094517,9.799526
1.715000,-0.018898,0.094517,9.799526
1.750000,-0.018898,0.094517,9.799526
1.780000,-0.018898,0.094517,9.799526
1.815000,-0.018898,0.094517,9.799526
1.850000,-0.018898,0.094517,9.799526
1.880000,-0.018898,0.094517,9.799526
1.915000,-0.018898,0.094517,9.799526
1.945000,-0.018898,0.094517,9.799526
1.980000,-0.018898,0.094517,9.799526
2.015000,-0.018898,0.094517,9.799526
2.045000,-0.018898,0.094517,9.799526
2.080000,-0.018898,0.094517,9.799526
2.110000,-0.018898,0.094517,9.799526
2.145000,-0.018898,0.094517,9.799526
2.180000,-0.018898,0.094517,9.799526
2.210000,-0.018898,0.094517,9.799526
2.245000,-0.018898,0.094517,9.799526
2.275000,-0.018898,0.094517,9.799526
2.310000,-0.018898,0.094517,9.799526
2.345000,-0.018898,0.094517,9.799526
2.375000,-0.018898,0.094517,9.799526
2.410000,-0.018898,0.094517,9.799526
2.440000,-0.018898,0.094517,9.799526
2.475000,-0.018898,0.094517,9.799526
2.510000,-0.018898,0.094517,9.799526
2.540000,-0.018898,0.094517,9.799526
2.575000,-0.018898,0.094517,9.799526
2.605000,-0.018898,0.094517,9.799526
2.640000,-0.018898,0.094517,9.799526
2.675000,-0.018898,0.094517,9.799526
2.705000,-0.018898,0.094517,9.799526
2.740000,-0.018898,0.094517,9.799526
2.770000,-0.018898,0.094517,9.799526
2.805000,-0.018898,0.094517,9.799526
2.840000,-0.018898,0.094517,9.799526
2.870000,-0.018898,0.094517,9.799526
2.905000,-0.018898,0.094517,9.799526
2.935000,-0.018898,0.094517,9.799526
2.970000,-0.018898,0.094517,9.799526
3.005000,-0.018898,0.094517,9.799526
3.035000,-0.018898,0.094517,9.799526
3.070000,-0.018898,0.094517,9.799526
3.100000,-0.018898,0.094517,9.799526
3.135000,-0.018898,0.094517,9.799526
3.170000,-0.018898,0.094517,9.799526
3.200000,-0.018898,0.094517,9.799526
3.235000,-0.018898,0.094517,9.799526
3.265000,-0.018898,0.094517,9.799526
3.300000,-0.018898,0.094517,9.799526
3.335000,-0.018898,0.094517,9.799526
3.365000,-0.018898,0.094517,9.799526
3.400000,-0.018898,0.094517,9.799526
3.430000,-0.018898,0.094517,9.799526
3.465000,-0.018898,0.094517,9.799526
3.500000,-0.018898,0.094517,9.799526
3.530000,-0.018898,0.094517,9.799526
3.565000,-0.018898,0.094517,9.799526
3.595000,-0.018898,0.094517,9.799526
3.630000,-0.018898,0.094517,9.799526
3.665000,-0.018898,0.094517,9.799526
3.695000,-0.018898,0.094517,9.799526
3.730000,-0.018898,0.094517,9.799526
3.760000,-0.018898,0.094517,9.799526
3.795000,-0.018898,0.094517,9.799526
3.830000,-0.018898,0.094517,9.799526
3.860000,-0.018898,0.094517,9.799526
3.895000,-0.018898,0.094517,9.799526
3.925000,-0.018898,0.094517,9.799526
3.960000,-0.018898,0.094517,9.799526
3.995000,-0.018898,0.094517,9.799526
4.025000,-0.018898,0.094517,9.799526
4.060000,-0.018898,0.094517,9.799526
4.090000,-0.018898,0.094517,9.799526
4.125000,-0.018898,0.094517,9.799526
4.160000,-0.018898,0.094517,9.799526
4.190000,-0.018898,0.094517,9.799526
4.225000,-0.018898,0.094517,9.799526
4.255000,-0.018898,0.094517,9.799526
4.290000,-0.018898,0.094517,9.799526
4.325000,-0.018898,0.094517,9.799526
4.355000,-0.018898,0.094517,9.799526
4.390000,-0.018898,0.094517,9.799526
4.420000,-0.018898,0.094517,9.799526
4.455000,-0.018898,0.094517,9.799526
4.490000,-0.018898,0.094517,9.799526
4.520000,-0.018898,0.094517,9.799526
4.555000,-0.018898,0.094517,9.799526
4.585000,-0.018898,0.094517,9.799526
4.620000,-0.018898,0.094517,9.799526
4.655000,-0.018898,0.094517,9.799526
4.685000,-0.018898,0.094517,9.799526
4.720000,-0.018898,0.094517,9.799526
4.750000,-0.018898,0.094517,9.799526
4.785000,-0.018898,0.094517,9.799526
4.820000,-0.018898,0.094517,9.799526
4.850000,-0.018898,0.094517,9.799526
4.885000,-0.018898,0.094517,9.799526
4.915000,-0.018898,0.094517,9.799526
4.950000,-0.018898,0.094517,9.799526
4.985000,-0.018898,0.094517,9.799526
5.015000,-0.018898,0.094517,9.799526
5.050000,-0.018898,0.094517,9.799526
5.080000,-0.018898,0.094517,9.799526
5.115000,-0.018898,0.094517,9.799526
5.150000,-0.018898,0.094517,9.799526
5.180000,-0.018898,0.094517,9.799526
5.215000,-0.018898,0.094517,9.799526
