time,name,position,velocity,effort
0.350000,pinza_i_link_joint,0.000023,-0.000000,-0.032637
0.350000,w1_link_joint,-0.000000,-0.000000,0.657116
0.350000,w2_link_joint,-0.000000,0.000000,-2.233032
0.350000,w3_link_joint,-0.000000,-0.000000,0.000000
0.350000,w4_link_joint,0.000000,-0.000000,0.000000
0.350000,w5_link_joint,0.000000,0.000000,-3.331721
0.350000,w6_link_joint,-0.000000,-0.000000,0.000000
0.400000,brazo1_link_joint,-0.570000,-0.100000,-1.161937
0.400000,brazo2_link_joint,0.000012,0.000002,-0.486066
0.400000,paloquebaja_link_joint,-0.063175,0.002467,39.296099
0.400000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.400000,pinza_d_link_joint,0.000025,0.000000,0.036956
0.400000,pinza_i_link_joint,0.000023,-0.000000,-0.032471
0.400000,w1_link_joint,-0.000000,-0.000000,0.656307
0.400000,w2_link_joint,-0.000000,0.000000,-2.232557
0.400000,w3_link_joint,-0.000000,0.000000,0.000000
0.400000,w4_link_joint,0.000000,0.000000,0.000000
0.400000,w5_link_joint,0.000000,0.000000,-3.331609
0.400000,w6_link_joint,-0.000000,-0.000000,0.000000
0.450000,brazo1_link_joint,-0.575000,-0.100000,-1.156326
0.450000,brazo2_link_joint,0.000012,0.000002,-0.483720
0.450000,paloquebaja_link_joint,-0.063052,0.002467,39.296099
0.450000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.450000,pinza_d_link_joint,0.000025,0.000000,0.036789
0.450000,pinza_i_link_joint,0.000023,-0.000000,-0.032303
0.450000,w1_link_joint,-0.000000,-0.000000,0.655492
0.450000,w2_link_joint,-0.000000,0.000000,-2.232084
0.450000,w3_link_joint,-0.000000,0.000000,0.000000
0.450000,w4_link_joint,0.000000,0.000000,0.000000
0.450000,w5_link_joint,0.000000,0.000000,-3.331491
0.450000,w6_link_joint,-0.000000,0.000000,0.000000
0.500000,brazo1_link_joint,-0.580000,-0.100000,-1.150686
0.500000,brazo2_link_joint,0.000013,0.000002,-0.481361
0.500000,paloquebaja_link_joint,-0.062929,0.002467,39.296099
0.500000,pinza_base_link_joint,-0.000012,-0.000002,-0.000201
0.500000,pinza_d_link_joint,0.000025,0.000000,0.036620
0.500000,pinza_i_link_joint,0.000023,-0.000000,-0.032135
0.500000,w1_link_joint,-0.000000,-0.000000,0.654673
0.500000,w2_link_joint,-0.000000,0.000000,-2.231615
0.500000,w3_link_joint,-0.000000,-0.000000,0.000000
0.500000,w4_link_joint,0.000000,-0.000000,0.000000
0.500000,w5_link_joint,0.000000,0.000000,-3.331366
0.500000,w6_link_joint,-0.000000,-0.000000,0.000000
0.550000,brazo1_link_joint,-0.585000,-0.100000,-1.145017
0.550000,brazo2_link_joint,0.000013,0.000002,-0.478990
0.550000,paloquebaja_link_joint,-0.062805,0.002467,39.296099
0.550000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.550000,pinza_d_link_joint,0.000025,0.000000,0.036451
0.550000,pinza_i_link_joint,0.000023,-0.000000,-0.031965
0.550000,w1_link_joint,-0.000000,-0.000000,0.653850
0.550000,w2_link_joint,-0.000000,0.000000,-2.231150
0.550000,w3_link_joint,-0.000000,0.000000,0.000000
0.550000,w4_link_joint,0.000000,0.000000,0.000000
0.550000,w5_link_joint,0.000000,0.000000,-3.331236
0.550000,w6_link_joint,-0.000000,0.000000,0.000000
0.600000,brazo1_link_joint,-0.590000,-0.100000,-1.139320
0.600000,brazo2_link_joint,0.000013,0.000002,-0.476607
0.600000,paloquebaja_link_joint,-0.062682,0.002467,39.296099
0.600000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.600000,pinza_d_link_joint,0.000025,0.000000,0.036280
0.600000,pinza_i_link_joint,0.000023,-0.000000,-0.031795
0.600000,w1_link_joint,-0.000000,-0.000000,0.653021
0.600000,w2_link_joint,-0.000000,0.000000,-2.230687
0.600000,w3_link_joint,-0.000000,0.000000,0.000000
0.600000,w4_link_joint,0.000000,-0.000000,0.000000
0.600000,w5_link_joint,0.000000,0.000000,-3.331098
0.600000,w6_link_joint,-0.000000,0.000000,0.000000
0.650000,brazo1_link_joint,-0.595000,-0.100000,-1.133594
0.650000,brazo2_link_joint,0.000013,0.000002,-0.474213
0.650000,paloquebaja_link_joint,-0.062559,0.002467,39.296099
0.650000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.650000,pinza_d_link_joint,0.000025,0.000000,0.036109
0.650000,pinza_i_link_joint,0.000023,-0.000000,-0.031624
0.650000,w1_link_joint,-0.000000,-0.000000,0.652188
0.650000,w2_link_joint,-0.000000,0.000000,-2.230228
0.650000,w3_link_joint,-0.000000,0.000000,0.000000
0.650000,w4_link_joint,0.000000,0.000000,0.000000
0.650000,w5_link_joint,0.000000,0.000000,-3.330955
0.650000,w6_link_joint,-0.000000,0.000000,0.000000
0.700000,brazo1_link_joint,-0.600000,-0.100000,-1.127839
0.700000,brazo2_link_joint,0.000013,0.000002,-0.471806
0.700000,paloquebaja_link_joint,-0.062435,0.002467,39.296099
0.700000,pinza_base_link_joint,-0.000013,-0.000002,-0.000201
0.700000,pinza_d_link_joint,0.000025,0.000000,0.035937
0.700000,pinza_i_link_joint,0.000023,-0.000000,-0.031452
0.700000,w1_link_joint,-0.000000,-0.000000,0.651351
0.700000,w2_link_joint,-0.000000,0.000000,-2.229773
0.700000,w3_link_joint,-0.000000,0.000000,0.000000
0.700000,w4_link_joint,0.000000,0.000000,0.000000
0.700000,w5_link_joint,0.000000,0.000000,-3.330806
0.700000,w6_link_joint,-0.000000,0.000000,0.000000
