time,linear_x,angular_z
0.000000,0.000000,1.000000
0.008189,0.000000,0.000000
0.063380,0.000000,-1.000000
0.066745,0.000000,0.000000
0.085674,0.000000,-1.000000
0.089036,0.000000,0.000000
0.110780,0.000000,-1.000000
0.113800,0.000000,0.000000
0.132402,0.000000,-1.000000
0.135709,0.000000,0.000000
0.188711,0.000000,1.000000
0.192825,0.000000,0.000000
1.720315,0.000000,0.000000
1.730262,0.000000,0.000000
1.730858,0.000000,0.000000
1.731529,0.000000,0.000000
1.732089,0.000000,0.000000
1.732677,0.000000,0.000000
1.733244,0.000000,0.000000
1.733853,0.000000,0.000000
1.734449,0.000000,0.000000
1.735050,0.000000,0.000000
1.735664,0.000000,0.000000
1.736252,0.000000,0.000000
1.736856,0.000000,0.000000
1.737522,0.000000,0.000000
1.743167,0.000000,0.000000
1.764299,-0.500000,0.000000
1.786228,-0.500000,0.000000
1.796173,-0.500000,0.000000
1.796784,-0.500000,0.000000
1.797437,-0.500000,0.000000
1.798054,-0.500000,0.000000
1.798637,-0.500000,0.000000
1.799184,-0.500000,0.000000
1.799785,-0.500000,0.000000
1.800383,-0.500000,0.000000
1.800980,-0.500000,0.000000
1.801640,-0.500000,0.000000
1.802190,-0.500000,0.000000
1.802785,-0.500000,0.000000
1.803432,-0.500000,0.000000
1.804027,-0.500000,0.000000
1.804629,-0.500000,0.000000
1.805205,-0.500000,0.000000
1.805787,-0.500000,0.000000
1.806378,-0.500000,0.000000
1.806978,-0.500000,0.000000
1.807614,-0.500000,0.000000
1.808199,-0.500000,0.000000
1.808798,-0.500000,0.000000
1.809427,-0.500000,0.000000
1.809668,-0.500000,-1.000000
1.819691,-0.500000,-1.000000
1.820270,-0.500000,-1.000000
1.820885,-0.500000,-1.000000
1.821471,-0.500000,-1.000000
1.822107,-0.500000,-1.000000
1.822650,-0.500000,-1.000000
1.823404,-0.500000,-1.000000
1.823949,-0.500000,-1.000000
1.824647,-0.500000,-1.000000
1.852845,-0.500000,-1.000000
1.862847,-0.500000,-1.000000
1.863529,-0.500000,-1.000000
1.864095,-0.500000,-1.000000
1.864675,-0.500000,-1.000000
1.865241,-0.500000,-1.000000
1.865838,-0.500000,-1.000000
1.866452,-0.500000,-1.000000
1.867050,-0.500000,-1.000000
1.867666,-0.500000,-1.000000
1.868284,-0.500000,-1.000000
1.868851,-0.500000,-1.000000
1.869538,-0.500000,-1.000000
1.870130,-0.500000,-1.000000
1.870654,-0.500000,-1.000000
1.871263,-0.500000,-1.000000
1.871839,-0.500000,-1.000000
1.872478,-0.500000,-1.000000
1.873056,-0.500000,-1.000000
1.873653,-0.500000,-1.000000
1.874251,-0.500000,-1.000000
1.874850,-0.500000,-1.000000
1.875505,-0.500000,-1.000000
1.876099,-0.500000,-1.000000
1.876656,-0.500000,-1.000000
1.877289,-0.500000,-1.000000
1.877854,-0.500000,-1.000000
1.878461,-0.500000,-1.000000
1.879056,-0.500000,-1.000000
1.879654,-0.500000,-1.000000
1.880250,-0.500000,-1.000000
1.880843,-0.500000,-1.000000
1.881526,-0.500000,-1.000000
1.882122,-0.500000,-1.000000
1.882650,-0.500000,-1.000000
1.883308,-0.500000,-1.000000
1.883843,-0.500000,-1.000000
1.884508,-0.500000,-1.000000
1.885074,-0.500000,-1.000000
1.885607,-0.500000,-1.000000
1.886246,-0.500000,-1.000000
1.886837,-0.500000,-1.000000
1.887461,-0.500000,-1.000000
1.888127,-0.500000,-1.000000
1.888670,-0.500000,-1.000000
1.889273,-0.500000,-1.000000
1.889848,-0.500000,-1.000000
1.890533,-0.500000,-1.000000
1.891129,-0.500000,-1.000000
1.891618,-0.500000,-1.000000
1.921852,-0.500000,0.000000
1.931873,-0.500000,0.000000
1.932457,-0.500000,0.000000
1.933042,-0.500000,0.000000
1.933643,-0.500000,0.000000
1.934262,-0.500000,0.000000
1.934854,-0.500000,0.000000
1.935494,-0.500000,0.000000
1.936099,-0.500000,0.000000
1.936651,-0.500000,0.000000
1.937263,-0.500000,0.000000
1.937855,-0.500000,0.000000
